id,rating,year,img,name,link,location,type,lat,lng
3074,1,MICHELIN Guide Denmark,"https://axwwgrkdco.cloudimg.io/v7/mtp-cf-images.s3-eu-west-1.amazonaws.com/images/max/dedabb5b-c8b7-490c-90d1-683639f49ab9.jpg?width=500&amp;sharp=1"" width=""362"" height=""203",Kokkeriet,https://guide.michelin.com//en/capital-region/copenhagen/restaurant/kokkeriet,Copenhagen,Modern Cuisine,55.687622,12.584985
3075,1,MICHELIN Guide Denmark,"https://axwwgrkdco.cloudimg.io/v7/mtp-cf-images.s3-eu-west-1.amazonaws.com/images/max/4bd9a36e-a377-4aa3-8ac3-ed959fc57900.jpg?width=500&amp;sharp=1"" width=""362"" height=""203",Kiin Kiin,https://guide.michelin.com//en/capital-region/copenhagen/restaurant/kiin-kiin,Copenhagen,"Thai, Thai",55.691891,12.557438
3076,2,MICHELIN Guide Denmark,"https://axwwgrkdco.cloudimg.io/v7/mtp-cf-images.s3-eu-west-1.amazonaws.com/images/max/a3edd6a0-1cf9-4ada-9b98-049852517a1c.png?width=500&amp;sharp=1"" width=""362"" height=""203",Alchemist,https://guide.michelin.com//en/capital-region/copenhagen/restaurant/alchemist,Copenhagen,Innovative,55.694096,12.613746
3077,2,MICHELIN Guide Singapore,"https://axwwgrkdco.cloudimg.io/v7/mtp-cf-images.s3-eu-west-1.amazonaws.com/images/max/deb42e51-1010-4bc0-b00c-9430afe5cad3.jpg?width=500&amp;sharp=1"" width=""362"" height=""203",Zén,https://guide.michelin.com//en/singapore-region/singapore/restaurant/zen,Singapore,European Contemporary,1.279627,103.840424
3078,1,MICHELIN Guide Singapore,"https://axwwgrkdco.cloudimg.io/v7/mtp-cf-images.s3-eu-west-1.amazonaws.com/images/max/a54af0de-0e08-4b99-9f10-f284bee19e9a.jpg?width=500&amp;sharp=1"" width=""362"" height=""203",Table65,https://guide.michelin.com//en/singapore-region/singapore/restaurant/table65,Singapore,European Contemporary,1.257095,103.821228
3079,1,MICHELIN Guide Singapore,"https://axwwgrkdco.cloudimg.io/v7/mtp-cf-images.s3-eu-west-1.amazonaws.com/images/max/6a367e6e-f25e-4fb6-a75b-0dca9e59eb3e.jpg?width=500&amp;sharp=1"" width=""362"" height=""203",Meta,https://guide.michelin.com//en/singapore-region/singapore/restaurant/meta570540,Singapore,Innovative,1.278945,103.841415
3080,1,MICHELIN Guide Singapore,"https://axwwgrkdco.cloudimg.io/v7/mtp-cf-images.s3-eu-west-1.amazonaws.com/images/max/ca16bdbb-89c4-45ac-8d95-56e93ec49ef2.jpg?width=500&amp;sharp=1"" width=""362"" height=""203",Jag,https://guide.michelin.com//en/singapore-region/singapore/restaurant/jag,Singapore,French Contemporary,1.278398,103.843185
3081,1,MICHELIN Guide Singapore,"https://axwwgrkdco.cloudimg.io/v7/mtp-cf-images.s3-eu-west-1.amazonaws.com/images/max/ac2e56f5-b579-472b-8a8e-23b18010f0b2.jpg?width=500&amp;sharp=1"" width=""362"" height=""203",Cheek Bistro,https://guide.michelin.com//en/singapore-region/singapore/restaurant/cheek-bistro,Singapore,Australian Contemporary,1.281318,103.848419
3082,1,MICHELIN Guide Singapore,"https://axwwgrkdco.cloudimg.io/v7/mtp-cf-images.s3-eu-west-1.amazonaws.com/images/max/698b088c-069a-4e8c-b332-2273cdf126d8.jpg?width=500&amp;sharp=1"" width=""362"" height=""203",Ma Cuisine,https://guide.michelin.com//en/singapore-region/singapore/restaurant/ma-cuisine,Singapore,French,1.278265,103.841896
3083,1,MICHELIN Guide Singapore,"https://axwwgrkdco.cloudimg.io/v7/mtp-cf-images.s3-eu-west-1.amazonaws.com/images/max/a3fb9233-d695-45a8-99ed-66e6eb9a345e.jpg?width=500&amp;sharp=1"" width=""362"" height=""203",Sushi Kimura,https://guide.michelin.com//en/singapore-region/singapore/restaurant/sushi-kimura,Singapore,Sushi,1.306782,103.829689
3084,1,MICHELIN Guide Singapore,"https://axwwgrkdco.cloudimg.io/v7/mtp-cf-images.s3-eu-west-1.amazonaws.com/images/max/b2156a6b-9460-4df1-9c28-765cee932b40.jpg?width=500&amp;sharp=1"" width=""362"" height=""203",Nouri,https://guide.michelin.com//en/singapore-region/singapore/restaurant/nouri,Singapore,Innovative,1.28086,103.84713
3085,1,MICHELIN Guide Singapore,"https://axwwgrkdco.cloudimg.io/v7/mtp-cf-images.s3-eu-west-1.amazonaws.com/images/max/19f4bab2-8e2e-493c-b482-22230f0096ff.jpg?width=500&amp;sharp=1"" width=""362"" height=""203",Chef Kang's,https://guide.michelin.com//en/singapore-region/singapore/restaurant/chef-kang-s,Singapore,Cantonese,1.304735,103.849548
3086,1,MICHELIN Guide Singapore,"https://axwwgrkdco.cloudimg.io/v7/mtp-cf-images.s3-eu-west-1.amazonaws.com/images/max/9e6b2cf6-c480-4d7f-9ede-2f294f33cbb9.jpg?width=500&amp;sharp=1"" width=""362"" height=""203",Braci,https://guide.michelin.com//en/singapore-region/singapore/restaurant/braci,Singapore,"Italian Contemporary, Italian Contemporary",1.287202,103.849281
3087,1,MICHELIN Guide Singapore,"https://static.pxlecdn.com/photos/372413872/original/7c245acc038292cbc207.jpg"" width=""362"" height=""203",Hawker Chan,https://guide.michelin.com//en/singapore-region/singapore/restaurant/liao-fan-hong-kong-soya-sauce-chicken-rice-noodle,Singapore,Street Food,1.282155,103.843292
3088,1,MICHELIN Guide Singapore,"https://axwwgrkdco.cloudimg.io/v7/mtp-cf-images.s3-eu-west-1.amazonaws.com/images/max/df27521e-e420-460e-8650-a0f72e4823a7.jpg?width=500&amp;sharp=1"" width=""362"" height=""203",Hill Street Tai Hwa Pork Noodle,https://guide.michelin.com//en/singapore-region/singapore/restaurant/hill-street-tai-hwa-pork-noodle,Singapore,Street Food,1.3052,103.862396
3089,2,MICHELIN Guide Singapore,"https://axwwgrkdco.cloudimg.io/v7/mtp-cf-images.s3-eu-west-1.amazonaws.com/images/max/22c8d9cf-8b0d-4079-961d-b9a66b81feba.jpg?width=500&amp;sharp=1"" width=""362"" height=""203",Waku Ghin,https://guide.michelin.com//en/singapore-region/singapore/restaurant/waku-ghin,Singapore,Japanese Contemporary,1.283175,103.859802
